Tempo: 739710 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 742730 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 743730 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 747730 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 748730 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 751750 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 752750 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 756750 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 757750 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 760770 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 761770 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 765770 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 766770 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 769790 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 770790 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 774790 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 775790 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 778810 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 779810 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 783810 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 784810 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 787830 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 788830 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 792830 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 793830 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 796850 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 797850 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 801850 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 802850 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 805870 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 806870 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 810870 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 811870 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 814890 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 815890 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 819890 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 820890 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 823910 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 824910 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 828910 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 829910 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 832930 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 833930 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 837930 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 838930 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 841950 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 842950 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 846950 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 847950 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 850970 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 851970 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 855970 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 856970 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 859990 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 860990 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 864990 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 865990 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 869010 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 870010 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 874010 ns, Transição para -> Carros: 010, Pedestres: 001
